reach,d0,d1,d2,d3,d4,nUp,u0,u1,u2,u3,u4,area,upArea
9348,9372,-1.0,-1.0,-1.0,-1.0,2,9320,9319,-1,-1,-1.0,8.174228777495657,212853.22308925886
9347,9372,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,46.12873014349046,46.12873014349046
9346,9371,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,84.86123691481096,84.86123691481096
9345,9371,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,40.366696794716304,40.366696794716304
9344,9370,-1.0,-1.0,-1.0,-1.0,2,9318,9317,-1,-1,-1.0,85.03016212970927,189.4490863432217
9343,9370,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,38.274277356519256,38.274277356519256
9342,9368,-1.0,-1.0,-1.0,-1.0,2,9316,9315,-1,-1,-1.0,42.35575180653848,4406.748930297115
9341,9368,-1.0,-1.0,-1.0,-1.0,2,9314,9313,-1,-1,-1.0,38.786304462594316,748.4228293498413
9340,9364,-1.0,-1.0,-1.0,-1.0,2,9312,9311,-1,-1,-1.0,30.407129770919518,8004.948675876103
9339,9364,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,33.51859635375348,33.51859635375348
9338,9362,-1.0,-1.0,-1.0,-1.0,2,9310,9309,-1,-1,-1.0,3.1671253810878968,4616.962138875631
9337,9362,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,89.07983303948794,89.07983303948794
9336,9360,-1.0,-1.0,-1.0,-1.0,2,9308,9307,-1,-1,-1.0,28.14571120580196,239.73028649228286
9335,9360,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,51.279853485018904,51.279853485018904
9334,9358,-1.0,-1.0,-1.0,-1.0,2,9306,9305,-1,-1,-1.0,97.34102794808676,3928.1086021355713
9333,9358,-1.0,-1.0,-1.0,-1.0,2,9304,9303,-1,-1,-1.0,5.556862924171754,124.58332973378151
9332,9356,-1.0,-1.0,-1.0,-1.0,2,9302,9301,-1,-1,-1.0,36.59436610183195,12227.58654046666
9331,9356,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,37.23113277445318,37.23113277445318
