i,k,old_q,old_q_ch_in,old_q_ch_out,qlat_ch_old
1,1,27.1604023,0.00000000,1.37105012,3.15640173E-05
1,2,27.1604023,1.37105012,2.74146962,3.15640173E-05
1,3,27.1604023,2.74146962,4.11553097,3.15640173E-05
1,4,27.1604023,4.11553097,5.47912693,3.15640173E-05
1,5,27.1604023,5.47912693,6.85434818,3.15640173E-05
1,6,27.1604023,6.85434818,8.24667263,3.15640173E-05
1,7,27.1604023,8.24667263,9.55832291,3.15640173E-05
1,8,27.1604023,9.55832291,11.0111628,3.15640173E-05
1,9,27.1604023,11.0111628,12.2762489,3.15640173E-05
1,10,27.1604023,12.2762489,13.7825432,3.15640173E-05
1,11,27.1604023,13.7825432,15.0898352,3.15640173E-05
1,12,27.1604023,15.0898352,16.3942280,3.15640173E-05
1,13,27.1604023,16.3942280,17.7410412,3.15640173E-05
1,14,27.1604023,17.7410412,19.3400517,3.15640173E-05
1,15,27.1604023,19.3400517,20.6345997,3.15640173E-05
1,16,27.1604023,20.6345997,21.6942234,3.15640173E-05
1,17,27.1604023,21.6942234,23.3865242,3.15640173E-05
1,18,27.1604023,23.3865242,25.0373878,3.15640173E-05
1,19,27.1604023,25.0373878,25.5911121,3.15640173E-05
1,20,27.1604023,25.5911121,27.1604023,3.15640173E-05
2,1,6.85938883,0.00000000,0.345568120,1.39412732E-05
2,2,6.85938883,0.345568120,0.699977279,1.39412732E-05
2,3,6.85938883,0.699977279,1.00940537,1.39412732E-05
2,4,6.85938883,1.00940537,1.40847707,1.39412732E-05
2,5,6.85938883,1.40847707,1.74780059,1.39412732E-05
2,6,6.85938883,1.74780059,2.05573797,1.39412732E-05
2,7,6.85938883,2.05573797,2.39974928,1.39412732E-05
2,8,6.85938883,2.39974928,2.77078724,1.39412732E-05
2,9,6.85938883,2.77078724,3.14852619,1.39412732E-05
2,10,6.85938883,3.14852619,3.44752622,1.39412732E-05
2,11,6.85938883,3.44752622,3.80556774,1.39412732E-05
2,12,6.85938883,3.80556774,4.13023663,1.39412732E-05
2,13,6.85938883,4.13023663,4.47100306,1.39412732E-05
2,14,6.85938883,4.47100306,4.84806108,1.39412732E-05
