i,k,old_q,old_q_ch_in,old_q_ch_out,qlat_ch_old
1,1,19.1830425,0.00000000,0.968354344,2.22932413E-05
1,2,19.1830425,0.968354344,1.93626308,2.22932413E-05
1,3,19.1830425,1.93626308,2.90674400,2.22932413E-05
1,4,19.1830425,2.90674400,3.86983442,2.22932413E-05
1,5,19.1830425,3.86983442,4.84113407,2.22932413E-05
1,6,19.1830425,4.84113407,5.82451391,2.22932413E-05
1,7,19.1830425,5.82451391,6.75091267,2.22932413E-05
1,8,19.1830425,6.75091267,7.77703714,2.22932413E-05
1,9,19.1830425,7.77703714,8.67054939,2.22932413E-05
1,10,19.1830425,8.67054939,9.73442745,2.22932413E-05
1,11,19.1830425,9.73442745,10.6577520,2.22932413E-05
1,12,19.1830425,10.6577520,11.5790234,2.22932413E-05
1,13,19.1830425,11.5790234,12.5302620,2.22932413E-05
1,14,19.1830425,12.5302620,13.6596241,2.22932413E-05
1,15,19.1830425,13.6596241,14.5739279,2.22932413E-05
1,16,19.1830425,14.5739279,15.3223495,2.22932413E-05
1,17,19.1830425,15.3223495,16.5175705,2.22932413E-05
1,18,19.1830425,16.5175705,17.6835899,2.22932413E-05
1,19,19.1830425,17.6835899,18.0746326,2.22932413E-05
1,20,19.1830425,18.0746326,19.1830425,2.22932413E-05
2,1,4.84464025,0.00000000,0.244070113,9.84653343E-06
2,2,4.84464025,0.244070113,0.494384587,9.84653343E-06
2,3,4.84464025,0.494384587,0.712929368,9.84653343E-06
2,4,4.84464025,0.712929368,0.994788170,9.84653343E-06
2,5,4.84464025,0.994788170,1.23444796,9.84653343E-06
2,6,4.84464025,1.23444796,1.45194006,9.84653343E-06
2,7,4.84464025,1.45194006,1.69491065,9.84653343E-06
2,8,4.84464025,1.69491065,1.95696700,9.84653343E-06
2,9,4.84464025,1.95696700,2.22377181,9.84653343E-06
2,10,4.84464025,2.22377181,2.43492174,9.84653343E-06
2,11,4.84464025,2.43492174,2.68783379,9.84653343E-06
2,12,4.84464025,2.68783379,2.91713500,9.84653343E-06
2,13,4.84464025,2.91713500,3.15780044,9.84653343E-06
2,14,4.84464025,3.15780044,3.42411089,9.84653343E-06
2,15,4.84464025,3.42411089,3.68825197,9.84653343E-06
2,16,4.84464025,3.68825197,3.94774532,9.84653343E-06
2,17,4.84464025,3.94774532,4.17386866,9.84653343E-06
2,18,4.84464025,4.17386866,4.37892151,9.84653343E-06
2,19,4.84464025,4.37892151,4.58761120,9.84653343E-06
2,20,4.84464025,4.58761120,4.84464025,9.84653343E-06
3,1,3.18252063,0.00000000,0.159106866,2.37853283E-06
3,2,3.18252063,0.159106866,0.318213701,2.37853283E-06
3,3,3.18252063,0.318213701,0.477320611,2.37853283E-06
3,4,3.18252063,0.477320611,0.636427402,2.37853283E-06
3,5,3.18252063,0.636427402,0.795534313,2.37853283E-06
3,6,3.18252063,0.795534313,0.954640985,2.37853283E-06
3,7,3.18252063,0.954640985,1.11374855,2.37853283E-06
3,8,3.18252063,1.11374855,1.27285194,2.37853283E-06
3,9,3.18252063,1.27285194,1.43197680,2.37853283E-06
3,10,3.18252063,1.43197680,1.59100437,2.37853283E-06
3,11,3.18252063,1.59100437,1.75039089,2.37853283E-06
3,12,3.18252063,1.75039089,1.90873599,2.37853283E-06
3,13,3.18252063,1.90873599,2.06936169,2.37853283E-06
3,14,3.18252063,2.06936169,2.22654581,2.37853283E-06
3,15,3.18252063,2.22654581,2.38624859,2.37853283E-06
3,16,3.18252063,2.38624859,2.54827833,2.37853283E-06
3,17,3.18252063,2.54827833,2.70205355,2.37853283E-06
3,18,3.18252063,2.70205355,2.86269140,2.37853283E-06
3,19,3.18252063,2.86269140,3.02742362,2.37853283E-06
3,20,3.18252063,3.02742362,3.18252063,2.37853283E-06
4,1,19.5505295,0.00000000,0.982242167,1.60207564E-05
4,2,19.5505295,0.982242167,1.96229684,1.60207564E-05
4,3,19.5505295,1.96229684,2.93269777,1.60207564E-05
4,4,19.5505295,2.93269777,3.97684717,1.60207564E-05
4,5,19.5505295,3.97684717,4.83688974,1.60207564E-05
4,6,19.5505295,4.83688974,5.91615725,1.60207564E-05
4,7,19.5505295,5.91615725,6.90829611,1.60207564E-05
4,8,19.5505295,6.90829611,7.81109667,1.60207564E-05
4,9,19.5505295,7.81109667,8.80797577,1.60207564E-05
4,10,19.5505295,8.80797577,9.86348152,1.60207564E-05
4,11,19.5505295,9.86348152,10.8815975,1.60207564E-05
4,12,19.5505295,10.8815975,11.6794910,1.60207564E-05
4,13,19.5505295,11.6794910,12.7735224,1.60207564E-05
4,14,19.5505295,12.7735224,13.6778078,1.60207564E-05
4,15,19.5505295,13.6778078,14.5744333,1.60207564E-05
4,16,19.5505295,14.5744333,16.0122585,1.60207564E-05
