i,k,old_q,old_q_ch_in,old_q_ch_out,qlat_ch_old
1,1,30.4780998,0.00000000,1.53852355,3.54195545E-05
1,2,30.4780998,1.53852355,3.07633948,3.54195545E-05
1,3,30.4780998,3.07633948,4.61824226,3.54195545E-05
1,4,30.4780998,4.61824226,6.14840174,3.54195545E-05
1,5,30.4780998,6.14840174,7.69160700,3.54195545E-05
1,6,30.4780998,7.69160700,9.25400162,3.54195545E-05
1,7,30.4780998,9.25400162,10.7258682,3.54195545E-05
1,8,30.4780998,10.7258682,12.3561726,3.54195545E-05
1,9,30.4780998,12.3561726,13.7757835,3.54195545E-05
1,10,30.4780998,13.7757835,15.4660816,3.54195545E-05
1,11,30.4780998,15.4660816,16.9330635,3.54195545E-05
1,12,30.4780998,16.9330635,18.3967781,3.54195545E-05
1,13,30.4780998,18.3967781,19.9081020,3.54195545E-05
1,14,30.4780998,19.9081020,21.7024307,3.54195545E-05
1,15,30.4780998,21.7024307,23.1551056,3.54195545E-05
1,16,30.4780998,23.1551056,24.3441620,3.54195545E-05
1,17,30.4780998,24.3441620,26.2431812,3.54195545E-05
1,18,30.4780998,26.2431812,28.0957146,3.54195545E-05
1,19,30.4780998,28.0957146,28.7170086,3.54195545E-05
1,20,30.4780998,28.7170086,30.4780998,3.54195545E-05
2,1,7.69716215,0.00000000,0.387779176,1.56441947E-05
2,2,7.69716215,0.387779176,0.785479248,1.56441947E-05
2,3,7.69716215,0.785479248,1.13270402,1.56441947E-05
2,4,7.69716215,1.13270402,1.58052206,1.56441947E-05
2,5,7.69716215,1.58052206,1.96129298,1.56441947E-05
2,6,7.69716215,1.96129298,2.30684566,1.56441947E-05
2,7,7.69716215,2.30684566,2.69287825,1.56441947E-05
2,8,7.69716215,2.69287825,3.10923719,1.56441947E-05
2,9,7.69716215,3.10923719,3.53311682,1.56441947E-05
2,10,7.69716215,3.53311682,3.86863685,1.56441947E-05
2,11,7.69716215,3.86863685,4.27041483,1.56441947E-05
2,12,7.69716215,4.27041483,4.63474131,1.56441947E-05
2,13,7.69716215,4.63474131,5.01713276,1.56441947E-05
2,14,7.69716215,5.01713276,5.44024706,1.56441947E-05
2,15,7.69716215,5.44024706,5.85989904,1.56441947E-05
2,16,7.69716215,5.85989904,6.27218056,1.56441947E-05
