Date	HRRID	Qlat
1	1	2.345153226
1	2	1.589383383
1	3	0.986516778
1	4	1.124988692
1	5	1.472514407
1	6	0.887379283
1	7	1.517064916
1	8	1.092867405
1	9	1.104418554
1	10	1.81503967
1	11	1.022247045
1	12	0.913593053
1	13	1.067005389
1	14	0.903043876
1	15	0.369962578
1	16	1.168173165
1	17	0.758536631
1	18	0.393370301
1	19	0.541550759
1	20	0.319162533
1	21	0.340592097
1	22	0.555956315
1	23	0.651593652
1	24	0.33369248
1	25	0.325130312
1	26	0.590918946
1	27	0.439281577
1	28	0.497354116
1	29	0.348452316
1	30	0.778150729
1	31	0.321787793
1	32	12.56700562
1	33	0.336027928
1	34	12.24892929
1	35	0.324246649
1	36	0.373001296
1	37	0.31976701
1	38	0.318880228
1	39	0.318258058
1	40	0.323349303
1	41	0.318217552
1	42	0.317918289
1	43	0.321903541
1	44	0.31842037
1	45	0.317309415
1	46	0.333391909
1	47	0.326964457
1	48	0.353149569
1	49	0.320790231
1	50	0.34704329
1	51	0.328647911
1	52	0.321410576
1	53	0.330882691
1	54	0.31939785
1	55	0.322538873
1	56	0.320378865
1	57	0.319365461
1	58	0.320403047
2	1	2.345153226
2	2	1.589383383
2	3	0.986516778
2	4	1.124988692
2	5	1.472514407
2	6	0.887379283
2	7	1.517064916
2	8	1.092867405
2	9	1.104418554
2	10	1.81503967
2	11	1.022247045
2	12	0.913593053
2	13	1.067005389
2	14	0.903043876
2	15	0.369962578
2	16	1.168173165
2	17	0.758536631
2	18	0.393370301
2	19	0.541550759
2	20	0.319162533
2	21	0.340592097
2	22	0.555956315
2	23	0.651593652
2	24	0.33369248
2	25	0.325130312
2	26	0.590918946
2	27	0.439281577
2	28	0.497354116
2	29	0.348452316
2	30	0.353288079
2	31	0.321787793
2	32	0.322502157
2	33	0.336027928
2	34	0.317774468
2	35	0.324246649
2	36	0.373001296
2	37	0.31976701
2	38	0.318880228
2	39	0.318258058
2	40	0.323349303
2	41	0.318217552
2	42	0.317918289
2	43	0.321903541
2	44	0.31842037
2	45	0.317309415
2	46	0.333391909
2	47	0.326964457
2	48	0.353149569
2	49	0.320790231
2	50	0.34704329
2	51	0.328647911
2	52	0.321410576
2	53	0.330882691
2	54	0.31939785
2	55	0.322538873
2	56	0.320378865
2	57	0.319365461
2	58	0.320403047
3	1	2.345153226
3	2	1.589383383
3	3	0.986516778
3	4	1.124988692
3	5	1.472514407
3	6	0.887379283
3	7	1.517064916
3	8	1.092867405
3	9	1.104418554
3	10	1.81503967
3	11	1.022247045
3	12	0.913593053
3	13	1.067005389
3	14	0.903043876
3	15	0.369962578
3	16	1.168173165
3	17	0.758536631
3	18	0.393370301
3	19	0.541550759
3	20	0.319162533
3	21	0.340592097
3	22	0.555956315
3	23	0.651593652
3	24	0.33369248
3	25	0.325130312
3	26	0.590918946
3	27	0.439281577
3	28	0.497354116
3	29	0.348452316
3	30	0.353288079
3	31	0.321787793
3	32	0.322502157
3	33	0.336027928
3	34	0.317774468
3	35	0.324246649
3	36	0.373001296
3	37	0.31976701
3	38	0.318880228
3	39	0.318258058
3	40	0.323349303
3	41	0.318217552
3	42	0.317918289
3	43	0.321903541
3	44	0.31842037
3	45	0.317309415
3	46	0.333391909
3	47	0.326964457
3	48	0.353149569
3	49	0.320790231
3	50	0.34704329
3	51	0.328647911
3	52	0.321410576
3	53	0.330882691
3	54	0.31939785
3	55	0.322538873
3	56	0.320378865
3	57	0.319365461
3	58	0.320403047
4	1	2.345153226
4	2	1.589383383
4	3	0.986516778
4	4	1.124988692
4	5	1.472514407
4	6	0.887379283
4	7	1.517064916
4	8	1.092867405
4	9	1.104418554
4	10	1.81503967
4	11	1.022247045
4	12	0.913593053
4	13	1.067005389
4	14	0.903043876
4	15	0.369962578
4	16	1.168173165
4	17	0.758536631
4	18	0.393370301
4	19	0.541550759
4	20	0.319162533
4	21	0.340592097
4	22	0.555956315
4	23	0.651593652
4	24	0.33369248
4	25	0.325130312
4	26	0.590918946
4	27	0.439281577
4	28	0.497354116
4	29	0.348452316
4	30	0.353288079
4	31	0.321787793
4	32	0.322502157
4	33	0.336027928
4	34	0.317774468
4	35	0.324246649
4	36	0.373001296
4	37	0.31976701
4	38	0.318880228
4	39	0.318258058
4	40	0.323349303
4	41	0.318217552
4	42	0.317918289
4	43	0.321903541
4	44	0.31842037
4	45	0.317309415
4	46	0.333391909
4	47	0.326964457
4	48	0.353149569
4	49	0.320790231
4	50	0.34704329
4	51	0.328647911
4	52	0.073338668
4	53	0.08198132
4	54	0.080752438
4	55	0.322538873
4	56	0.320378865
4	57	0.319365461
4	58	0.320403047
5	1	2.345153226
5	2	1.589383383
5	3	0.986516778
5	4	1.124988692
5	5	1.472514407
5	6	0.887379283
5	7	1.517064916
5	8	1.092867405
5	9	1.104418554
5	10	1.81503967
5	11	1.022247045
5	12	0.913593053
5	13	1.067005389
5	14	0.903043876
5	15	0.369962578
5	16	1.168173165
5	17	0.758536631
5	18	0.393370301
5	19	0.541550759
5	20	0.319162533
5	21	0.340592097
5	22	0.555956315
5	23	0.651593652
5	24	0.33369248
5	25	0.325130312
5	26	0.590918946
5	27	0.439281577
5	28	0.497354116
5	29	0.348452316
5	30	0.353288079
5	31	0.321787793
5	32	0.322502157
5	33	0.336027928
5	34	0.317774468
5	35	0.324246649
5	36	0.373001296
5	37	0.31976701
5	38	0.318880228
5	39	0.318258058
5	40	0.323349303
5	41	0.318217552
5	42	0.317918289
5	43	0.321903541
5	44	0.31842037
5	45	0.317309415
5	46	0.333391909
5	47	0.326964457
5	48	0.353149569
5	49	0.320790231
5	50	0.34704329
5	51	0.328647911
5	52	0.321410576
5	53	0.330882691
5	54	0.31939785
5	55	0.322538873
5	56	0.320378865
5	57	0.319365461
5	58	0.320403047
6	1	2.345153226
6	2	1.589383383
6	3	0.986516778
6	4	1.124988692
6	5	1.472514407
6	6	0.887379283
6	7	1.517064916
6	8	1.092867405
6	9	1.104418554
6	10	1.81503967
6	11	1.022247045
6	12	0.913593053
6	13	1.067005389
6	14	0.903043876
6	15	0.369962578
6	16	1.168173165
6	17	0.758536631
6	18	0.393370301
6	19	0.541550759
6	20	0.319162533
6	21	0.340592097
6	22	0.555956315
6	23	0.651593652
6	24	0.33369248
6	25	0.325130312
6	26	0.590918946
6	27	0.439281577
6	28	0.497354116
6	29	0.348452316
6	30	0.353288079
6	31	0.321787793
6	32	0.322502157
6	33	0.336027928
6	34	0.317774468
6	35	0.324246649
6	36	0.373001296
6	37	0.31976701
6	38	0.318880228
6	39	0.318258058
6	40	0.323349303
6	41	0.318217552
6	42	0.317918289
6	43	0.321903541
6	44	0.31842037
6	45	0.317309415
6	46	0.333391909
6	47	0.326964457
6	48	0.353149569
6	49	0.320790231
6	50	0.34704329
6	51	0.328647911
6	52	0.321410576
6	53	0.330882691
6	54	0.31939785
6	55	0.322538873
6	56	0.320378865
6	57	0.085187627
6	58	0.067762128
7	1	2.345153226
7	2	1.589383383
7	3	0.986516778
7	4	1.124988692
7	5	1.472514407
7	6	0.887379283
7	7	1.517064916
7	8	1.092867405
7	9	1.104418554
7	10	1.81503967
7	11	1.022247045
7	12	0.913593053
7	13	1.067005389
7	14	0.903043876
7	15	0.369962578
7	16	1.168173165
7	17	0.758536631
7	18	0.393370301
7	19	0.541550759
7	20	0.319162533
7	21	0.340592097
7	22	0.555956315
7	23	0.651593652
7	24	2.228256424
7	25	0.325130312
7	26	0.590918946
7	27	1.54631643
7	28	0.497354116
7	29	0.348452316
7	30	0.353288079
7	31	0.321787793
7	32	0.322502157
7	33	0.336027928
7	34	0.317774468
7	35	0.324246649
7	36	0.373001296
7	37	0.31976701
7	38	0.318880228
7	39	0.318258058
7	40	0.323349303
7	41	0.318217552
7	42	0.317918289
7	43	0.321903541
7	44	0.31842037
7	45	0.317309415
7	46	0.333391909
7	47	0.326964457
7	48	0.353149569
7	49	0.320790231
7	50	0.34704329
7	51	0.328647911
7	52	0.321410576
7	53	0.330882691
7	54	0.31939785
7	55	0.322538873
7	56	0.320378865
7	57	0.319365461
7	58	0.320403047
8	1	2.345153226
8	2	1.589383383
8	3	0.986516778
8	4	1.124988692
8	5	1.472514407
8	6	0.887379283
8	7	1.517064916
8	8	1.092867405
8	9	1.104418554
8	10	1.81503967
8	11	1.022247045
8	12	0.913593053
8	13	1.067005389
8	14	0.903043876
8	15	0.369962578
8	16	1.168173165
8	17	0.758536631
8	18	0.393370301
8	19	0.541550759
8	20	0.319162533
8	21	0.340592097
8	22	0.555956315
8	23	0.651593652
8	24	0.33369248
8	25	0.325130312
8	26	0.590918946
8	27	0.439281577
8	28	0.497354116
8	29	0.348452316
8	30	0.353288079
8	31	0.321787793
8	32	0.322502157
8	33	0.336027928
8	34	0.317774468
8	35	0.324246649
8	36	0.373001296
8	37	0.31976701
8	38	0.318880228
8	39	0.318258058
8	40	0.323349303
8	41	0.318217552
8	42	0.317918289
8	43	0.321903541
8	44	0.31842037
8	45	0.317309415
8	46	0.333391909
8	47	0.326964457
8	48	0.353149569
8	49	0.320790231
8	50	0.34704329
8	51	0.328647911
8	52	0.321410576
8	53	0.330882691
8	54	0.31939785
8	55	0.322538873
8	56	0.320378865
8	57	0.319365461
8	58	0.320403047
9	1	2.345153226
9	2	1.589383383
9	3	0.986516778
9	4	1.124988692
9	5	1.472514407
9	6	0.887379283
9	7	1.517064916
9	8	1.092867405
9	9	1.104418554
9	10	1.81503967
9	11	1.022247045
9	12	0.913593053
9	13	1.067005389
9	14	0.903043876
9	15	0.369962578
9	16	1.168173165
9	17	0.758536631
9	18	0.393370301
9	19	0.541550759
9	20	1.851097334
9	21	0.340592097
9	22	0.555956315
9	23	0.651593652
9	24	0.33369248
9	25	0.325130312
9	26	0.590918946
9	27	0.439281577
9	28	0.497354116
9	29	0.348452316
9	30	0.353288079
9	31	0.321787793
9	32	0.322502157
9	33	0.336027928
9	34	0.317774468
9	35	0.324246649
9	36	0.373001296
9	37	0.31976701
9	38	0.318880228
9	39	0.318258058
9	40	0.323349303
9	41	0.318217552
9	42	0.317918289
9	43	0.321903541
9	44	0.31842037
9	45	0.317309415
9	46	0.333391909
9	47	0.87140274
9	48	0.105475161
9	49	0.320790231
9	50	0.34704329
9	51	0.328647911
9	52	0.321410576
9	53	0.330882691
9	54	0.31939785
9	55	0.322538873
9	56	0.320378865
9	57	0.319365461
9	58	0.320403047
10	1	2.345153226
10	2	1.589383383
10	3	0.986516778
10	4	1.124988692
10	5	1.472514407
10	6	0.887379283
10	7	1.517064916
10	8	1.092867405
10	9	1.104418554
10	10	1.81503967
10	11	1.022247045
10	12	0.913593053
10	13	1.067005389
10	14	0.903043876
10	15	0.369962578
10	16	1.168173165
10	17	0.758536631
10	18	0.393370301
10	19	0.541550759
10	20	0.319162533
10	21	0.340592097
10	22	0.555956315
10	23	0.651593652
10	24	0.33369248
10	25	0.325130312
10	26	0.590918946
10	27	0.439281577
10	28	0.497354116
10	29	0.348452316
10	30	0.353288079
10	31	0.321787793
10	32	0.322502157
10	33	0.336027928
10	34	0.317774468
10	35	0.324246649
10	36	0.373001296
10	37	0.31976701
10	38	0.318880228
10	39	0.318258058
10	40	0.323349303
10	41	0.318217552
10	42	0.317918289
10	43	0.321903541
10	44	0.31842037
10	45	0.317309415
10	46	0.333391909
10	47	0.326964457
10	48	0.353149569
10	49	0.320790231
10	50	0.34704329
10	51	0.328647911
10	52	0.321410576
10	53	0.330882691
10	54	0.31939785
10	55	0.322538873
10	56	0.320378865
10	57	0.319365461
10	58	0.320403047
11	1	2.345153226
11	2	1.589383383
11	3	0.986516778
11	4	1.124988692
11	5	1.472514407
11	6	0.887379283
11	7	1.517064916
11	8	1.092867405
11	9	1.104418554
11	10	1.81503967
11	11	1.022247045
11	12	0.913593053
11	13	1.067005389
11	14	0.903043876
11	15	0.369962578
11	16	1.168173165
11	17	0.758536631
11	18	0.393370301
11	19	0.541550759
11	20	0.319162533
11	21	0.340592097
