403
289	289	289
478	478	478
541	541	541
548	548	548
594	594	594
612	612	612
675	675	675
715	715	715
855	855	855
906	906	906
958	958	958
981	981	981
1023	1023	1023
1047	1047	1047
1093	1093	1093
1227	1227	1227
1249	1249	1249
1265	1265	1265
1271	1271	1271
1431	1431	1431
1551	1551	1551
1695	1695	1695
1699	1699	1699
1754	1754	1754
1932	1932	1932
1952	1952	1952
1962	1962	1962
1994	1994	1994
2046	2046	2046
2048	2048	2048
2178	2178	2178
2362	2362	2362
2372	2372	2372
2653	2653	2653
2695	2695	2695
2696	2696	2696
2748	2748	2748
2766	2766	2766
2825	2825	2825
2826	2826	2826
2847	2847	2847
2893	2893	2893
3005	3005	3005
3010	3010	3010
3049	3049	3049
3109	3109	3109
3111	3111	3111
3139	3139	3139
3161	3161	3161
3425	3425	3425
3653	3653	3653
3735	3735	3735
3945	3945	3945
3985	3985	3985
4075	4075	4075
4089	4089	4089
4134	4134	4134
4300	4300	4300
4437	4437	4437
4438	4438	4438
4506	4506	4506
4632	4632	4632
4746	4746	4746
4819	4819	4819
4859	4859	4859
4880	4880	4880
5005	5005	5005
5077	5077	5077
5129	5129	5129
5197	5197	5197
5379	5379	5379
5636	5636	5636
5814	5814	5814
5868	5868	5868
5934	5934	5934
6186	6186	6186
6730	6730	6730
6860	6860	6860
6876	6876	6876
6959	6959	6959
7593	7593	7593
7818	7818	7818
7869	7869	7869
7977	7977	7977
8121	8121	8121
8299	8299	8299
8610	8610	8610
8689	8689	8689
9238	9238	9238
9278	9278	9278
9284	9284	9284
9433	9433	9433
9614	9614	9614
9682	9682	9682
9872	9872	9872
9896	9896	9896
10074	10074	10074
10300	10300	10300
10337	10337	10337
10507	10507	10507
10562	10562	10562
10602	10602	10602
10670	10670	10670
10680	10680	10680
10766	10766	10766
10848	10848	10848
10945	10945	10945
11110	11110	11110
11212	11212	11212
11328	11328	11328
11482	11482	11482
11497	11497	11497
11504	11504	11504
11530	11530	11530
11575	11575	11575
11576	11576	11576
11588	11588	11588
11626	11626	11626
11688	11688	11688
11756	11756	11756
11774	11774	11774
11830	11830	11830
11907	11907	11907
11932	11932	11932
12028	12028	12028
12213	12213	12213
12413	12413	12413
12561	12561	12561
12568	12568	12568
12570	12570	12570
12634	12634	12634
12712	12712	12712
12714	12714	12714
12839	12839	12839
12843	12843	12843
12973	12973	12973
12979	12979	12979
13025	13025	13025
13029	13029	13029
13059	13059	13059
13088	13088	13088
13089	13089	13089
13256	13256	13256
13288	13288	13288
13410	13410	13410
13432	13432	13432
13470	13470	13470
13498	13498	13498
13548	13548	13548
13557	13557	13557
13560	13560	13560
13634	13634	13634
13746	13746	13746
13758	13758	13758
13852	13852	13852
13886	13886	13886
13904	13904	13904
14040	14040	14040
14177	14177	14177
14214	14214	14214
14244	14244	14244
14246	14246	14246
14248	14248	14248
14281	14281	14281
14456	14456	14456
14463	14463	14463
14555	14555	14555
14679	14679	14679
14685	14685	14685
14710	14710	14710
14769	14769	14769
14902	14902	14902
15151	15151	15151
